TransactionID,SaleDate,CustomerID,ProductID,StoreID,CampaignID,SaleAmount,CustomerSatisfactionScore,PaymentType
1,5/4/2025,1034,2059,402,0,2048.2,7,Cash
2,5/4/2025,1066,2048,403,1,321.87,4,Credit Card
3,5/4/2025,1116,2041,403,3,3216.84,8,Credit Card
4,5/4/2025,1071,2096,404,2,1613.23,5,PayPal
5,5/4/2025,1020,2060,401,0,408.38,7,Bank Transfer
6,5/4/2025,1089,2028,401,0,1275.88,10,PayPal
7,5/4/2025,1193,2003,402,1,346.66,3,Bank Transfer
8,5/4/2025,1005,2079,402,1,855.49,7,Debit Card
9,5/4/2025,1032,2060,401,1,735.08,8,Debit Card
10,5/4/2025,1119,2089,403,2,661.63,5,Cash
11,5/4/2025,1042,2077,401,2,505.65,4,Bank Transfer
12,5/4/2025,1079,2013,401,2,0,8,Cash
16,5/4/2025,1144,2005,403,3,1715.12,5,Credit Card
17,5/4/2025,1169,2047,401,2,535.97,2,Credit Card
18,5/4/2025,1003,2053,404,0,3660.9,8,PayPal
19,5/4/2025,1110,2046,404,1,30.09,6,Credit Card
20,5/4/2025,1111,2022,403,3,671.18,2,Bank Transfer
21,5/4/2025,1119,2055,403,2,0,5,Cash
22,5/4/2025,1062,2011,403,3,1229.22,1,Credit Card
23,5/4/2025,1062,2096,404,3,672.18,10,Bank Transfer
24,5/4/2025,1086,2003,404,2,924.43,6,Debit Card
25,5/4/2025,1046,2062,402,2,1981.95,9,Bank Transfer
26,5/4/2025,1066,2043,403,2,698.76,1,Cash
27,5/4/2025,1142,2001,402,0,1237.05,10,Bank Transfer
28,5/4/2025,1061,2092,404,3,482.21,3,PayPal
29,5/4/2025,1142,2097,402,3,4210.5,7,Cash
30,5/4/2025,1165,2091,404,3,4528.95,4,Debit Card
31,5/4/2025,1004,2011,403,1,737.53,9,PayPal
32,5/4/2025,1103,2088,402,2,0,3,Bank Transfer
33,5/4/2025,1169,2074,403,3,0,5,Cash
34,5/4/2025,1141,2067,403,3,872.85,3,Debit Card
35,5/4/2025,1190,2070,403,2,54.69,7,PayPal
36,5/4/2025,1179,2058,403,2,1066.8,5,Debit Card
37,5/4/2025,1064,2029,401,1,12.16,9,Bank Transfer
38,5/4/2025,1080,2015,402,1,3037.36,7,Debit Card
39,5/4/2025,1055,2094,404,2,1578.72,2,Credit Card
40,5/4/2025,1185,2075,403,0,0,4,PayPal
41,5/4/2025,9999,2037,402,2,288.11,9,Debit Card
42,5/4/2025,1045,2038,401,1,1667.72,2,Bank Transfer
43,5/4/2025,1070,2005,401,2,686.05,10,Bank Transfer
44,5/4/2025,1178,2016,404,0,0,9,Debit Card
45,5/4/2025,1003,2073,403,3,1498.29,10,Bank Transfer
46,5/4/2025,1122,2056,403,1,944.5,5,Cash
47,5/4/2025,1013,2032,404,0,2836.8,2,Cash
48,5/4/2025,1016,2051,404,0,117.32,4,Cash
49,5/4/2025,1147,2080,401,1,0,7,Credit Card
50,5/4/2025,1038,2072,403,0,840.6,8,Debit Card
51,5/4/2025,1063,2015,404,1,1214.95,3,Credit Card
52,5/4/2025,1198,2066,404,3,516.06,1,Bank Transfer
53,5/4/2025,1113,2038,404,2,2223.62,4,Credit Card
54,5/4/2025,1145,2079,401,0,1901.08,2,Bank Transfer
55,5/4/2025,1195,2026,402,2,507.74,8,Bank Transfer
56,5/4/2025,1169,2010,402,1,140.11,4,PayPal
57,5/4/2025,1044,2070,401,1,0,2,Cash
58,5/4/2025,1000,2052,404,3,2193.78,6,Bank Transfer
59,5/4/2025,1074,2004,402,2,741.8,6,PayPal
60,5/4/2025,1180,2036,404,0,217.98,10,Cash
61,5/4/2025,1175,2029,403,1,36.48,4,Bank Transfer
62,5/4/2025,1108,2014,402,1,221.67,6,Bank Transfer
63,5/4/2025,1068,2018,401,0,2169.04,2,Credit Card
64,5/4/2025,1042,2039,403,3,2929.32,10,Credit Card
65,5/4/2025,1031,2059,403,3,0,2,Cash
66,5/4/2025,1069,2064,404,3,1470.2,10,Bank Transfer
67,5/4/2025,1020,2076,401,3,4836.42,4,Debit Card
68,5/4/2025,1188,2041,403,0,1608.42,8,Credit Card
69,5/4/2025,1023,2029,401,2,0,7,Cash
70,5/4/2025,1147,2005,402,3,0,9,Bank Transfer
71,5/4/2025,1132,2083,404,2,614.53,8,Bank Transfer
72,5/4/2025,1046,2074,404,3,659.5,5,Debit Card
73,5/4/2025,1023,2060,403,3,1225.14,2,Cash
74,5/4/2025,1085,2041,401,1,1447.58,5,Bank Transfer
75,5/4/2025,1084,2052,404,2,2925.04,8,Credit Card
76,5/4/2025,1169,2051,401,3,117.32,10,Debit Card
77,5/4/2025,1022,2040,403,2,55.26,9,Cash
78,5/4/2025,1029,2098,404,0,3631.44,9,Debit Card
79,5/4/2025,1168,2069,404,3,232.39,1,Credit Card
80,5/4/2025,1013,2024,403,3,372.81,9,Cash
81,5/4/2025,1160,2056,401,1,472.25,7,Debit Card
82,5/4/2025,1068,2070,402,2,109.38,9,PayPal
83,5/4/2025,1112,2089,404,0,2067.6,8,Credit Card
84,5/4/2025,1007,2080,402,1,1498.07,1,Credit Card
85,5/4/2025,1079,2070,401,3,34.18,8,Credit Card
86,5/4/2025,1023,2028,401,3,2551.76,8,PayPal
87,5/4/2025,1030,2082,402,3,799.8,3,PayPal
88,5/4/2025,1183,2037,403,3,2160.84,1,Bank Transfer
89,5/4/2025,1123,2060,402,3,2450.28,8,Debit Card
90,5/4/2025,1141,2018,404,1,2440.17,3,Bank Transfer
91,5/4/2025,1153,2065,402,0,470.34,3,Debit Card
92,5/4/2025,1070,2098,404,2,0,1,PayPal
93,5/4/2025,1129,2034,401,2,108.94,5,PayPal
94,5/4/2025,1185,2038,404,1,1667.72,10,Bank Transfer
95,5/4/2025,1114,2068,404,2,656.19,7,Cash
96,5/4/2025,1085,2070,404,3,0,10,Bank Transfer
97,5/4/2025,1082,2024,402,3,372.81,9,Debit Card
98,5/4/2025,1059,2099,404,0,1292.64,7,Bank Transfer
99,5/4/2025,1081,2095,404,3,490.79,9,Credit Card
100,5/4/2025,1098,2084,402,3,0,8,Debit Card
101,5/4/2025,1009,2016,403,0,969.06,2,Debit Card
102,5/4/2025,1112,2012,404,0,1869.57,1,Cash
103,5/4/2025,1184,2018,404,1,488.03,7,PayPal
104,5/4/2025,1019,2060,403,2,0,7,Debit Card
105,5/4/2025,1159,2088,404,0,0,8,PayPal
106,5/4/2025,1084,2086,404,2,2861.12,5,Bank Transfer
107,5/4/2025,1160,2091,404,0,905.79,3,Credit Card
108,5/4/2025,1158,2008,402,2,159.82,8,Cash
109,5/4/2025,1058,2095,401,3,2453.95,6,PayPal
110,5/4/2025,1025,2097,401,3,842.1,3,Debit Card
111,5/4/2025,1042,2088,403,0,709.35,1,PayPal
112,5/4/2025,1011,2041,401,2,0,3,Debit Card
113,5/4/2025,1091,2047,404,1,0,5,PayPal
114,5/4/2025,1062,2067,404,1,0,3,Debit Card
115,5/4/2025,1043,2022,401,3,2684.72,1,Bank Transfer
116,5/4/2025,1158,2087,402,3,477.96,5,Debit Card
117,5/4/2025,1149,2018,402,3,1626.78,10,Debit Card
118,5/4/2025,1163,2032,404,2,756.48,7,Credit Card
119,5/4/2025,1170,2001,404,2,659.76,7,Debit Card
120,5/4/2025,1173,2069,402,0,464.78,9,Credit Card
121,5/4/2025,1113,2044,403,3,0,10,Cash
122,5/4/2025,1176,2032,404,2,756.48,10,Credit Card
123,5/4/2025,1050,2049,404,0,2819.52,3,Bank Transfer
124,5/4/2025,1060,2048,403,2,1144.42,7,Credit Card
125,5/4/2025,1179,2037,401,3,1440.56,1,Cash
126,5/4/2025,1070,2001,401,3,0,4,Bank Transfer
127,5/4/2025,1073,2099,402,2,0,4,PayPal
128,5/4/2025,1056,2081,402,2,0,5,PayPal
129,5/4/2025,1173,2096,402,0,672.18,7,Credit Card
130,5/4/2025,1160,2082,401,2,426.56,7,Credit Card
131,5/4/2025,1112,2004,403,1,1669.05,4,Cash
132,5/4/2025,1023,2037,403,3,2160.84,7,Cash
133,5/4/2025,1044,2025,402,2,223.7,3,Debit Card
134,5/4/2025,1135,2064,403,1,793.91,6,Cash
135,5/4/2025,1065,2061,403,2,639.74,2,Debit Card
136,5/4/2025,1029,2059,401,1,921.69,10,Bank Transfer
137,5/4/2025,1193,2028,404,2,1531.06,9,Credit Card
138,5/4/2025,1023,2050,401,2,298.85,5,Bank Transfer
139,5/4/2025,1137,2015,404,2,539.98,6,Cash
