TransactionID,SaleDate,OrderDate,ShipDate,CustomerID,ProductID,SaleAmount,Quantity,ShipMode,CustomerSatisfactionScore,PaymentType
1,11/9/2013,11/9/2013,11/12/2013,CG-12520,FUR-BO-10001798,261.96,2,Second Class,1,PayPal
2,11/9/2013,11/9/2013,11/12/2013,CG-12520,FUR-CH-10000454,731.94,3,Second Class,2,Credit Card
3,6/13/2013,6/13/2013,6/17/2013,DV-13045,OFF-LA-10000240,14.62,2,Second Class,2,Credit Card
4,10/11/2012,10/11/2012,10/18/2012,SO-20335,FUR-TA-10000577,957.5775,5,Standard Class,1,Bank Transfer
5,10/11/2012,10/11/2012,10/18/2012,SO-20335,OFF-ST-10000760,22.368,2,Standard Class,5,PayPal
6,6/9/2011,6/9/2011,6/14/2011,BH-11710,FUR-FU-10001487,48.86,7,Standard Class,4,Bank Transfer
7,6/9/2011,6/9/2011,6/14/2011,BH-11710,OFF-AR-10002833,7.28,4,Standard Class,2,Bank Transfer
8,6/9/2011,6/9/2011,6/14/2011,BH-11710,TEC-PH-10002275,907.152,6,Standard Class,3,Credit Card
9,6/9/2011,6/9/2011,6/14/2011,BH-11710,OFF-BI-10003910,18.504,3,Standard Class,4,Credit Card
10,6/9/2011,6/9/2011,6/14/2011,BH-11710,OFF-AP-10002892,114.9,5,Standard Class,3,PayPal
11,6/9/2011,6/9/2011,6/14/2011,BH-11710,FUR-TA-10001539,1706.184,9,Standard Class,2,PayPal
12,6/9/2011,6/9/2011,6/14/2011,BH-11710,TEC-PH-10002033,911.424,4,Standard Class,1,PayPal
13,4/16/2014,4/16/2014,4/21/2014,AA-10480,OFF-PA-10002365,15.552,3,Standard Class,4,Credit Card
14,12/6/2013,12/6/2013,12/11/2013,IM-15070,OFF-BI-10003656,407.976,3,Standard Class,2,Bank Transfer
15,11/22/2012,11/22/2012,11/26/2012,HP-14815,OFF-AP-10002311,68.81,5,Standard Class,2,PayPal
16,11/22/2012,11/22/2012,11/26/2012,HP-14815,OFF-BI-10000756,2.544,3,Standard Class,4,Credit Card
17,11/11/2011,11/11/2011,11/18/2011,PK-19075,OFF-ST-10004186,665.88,6,Standard Class,5,Bank Transfer
18,5/13/2011,5/13/2011,5/15/2011,AG-10270,OFF-ST-10000107,55.5,2,Second Class,4,Credit Card
19,8/27/2011,8/27/2011,9/1/2011,ZD-21925,OFF-AR-10003056,8.56,2,Second Class,5,Bank Transfer
20,8/27/2011,8/27/2011,9/1/2011,ZD-21925,TEC-PH-10001949,213.48,3,Second Class,4,Credit Card
21,8/27/2011,8/27/2011,9/1/2011,ZD-21925,OFF-BI-10002215,22.72,4,Second Class,4,Credit Card
22,12/10/2013,12/10/2013,12/14/2013,KB-16585,OFF-AR-10000246,19.46,7,Standard Class,2,Credit Card
23,12/10/2013,12/10/2013,12/14/2013,KB-16585,OFF-AP-10001492,60.34,7,Standard Class,5,Credit Card
24,7/17/2014,7/17/2014,7/19/2014,SF-20065,FUR-CH-10002774,71.372,2,Second Class,4,PayPal
25,9/25/2012,9/25/2012,9/30/2012,EB-13870,FUR-TA-10000577,1044.63,3,Standard Class,3,Credit Card
26,1/16/2013,1/16/2013,1/20/2013,EH-13945,OFF-BI-10001634,11.648,2,Second Class,1,Credit Card
27,1/16/2013,1/16/2013,1/20/2013,EH-13945,TEC-AC-10003027,90.57,3,Second Class,2,PayPal
28,9/17/2012,9/17/2012,9/21/2012,TB-21520,FUR-BO-10004834,3083.43,7,Standard Class,1,Credit Card
29,9/17/2012,9/17/2012,9/21/2012,TB-21520,OFF-BI-10000474,9.618,2,Standard Class,1,Bank Transfer
30,9/17/2012,9/17/2012,9/21/2012,TB-21520,FUR-FU-10004848,124.2,3,Standard Class,4,PayPal
31,9/17/2012,9/17/2012,9/21/2012,TB-21520,OFF-EN-10001509,3.264,2,Standard Class,3,Credit Card
32,9/17/2012,9/17/2012,9/21/2012,TB-21520,OFF-AR-10004042,86.304,6,Standard Class,5,PayPal
33,9/17/2012,9/17/2012,9/21/2012,TB-21520,OFF-BI-10001525,6.858,6,Standard Class,5,Bank Transfer
34,9/17/2012,9/17/2012,9/21/2012,TB-21520,OFF-AR-10001683,15.76,2,Standard Class,5,Credit Card
35,10/20/2014,10/20/2014,10/24/2014,MA-17560,OFF-PA-10000249,29.472,3,Second Class,5,PayPal
36,12/9/2013,12/9/2013,12/11/2013,GH-14485,TEC-PH-10004977,1097.544,7,First Class,3,Credit Card
37,12/9/2013,12/9/2013,12/11/2013,GH-14485,FUR-FU-10003664,190.92,5,First Class,5,PayPal
38,12/27/2012,12/27/2012,12/31/2012,SN-20710,OFF-EN-10002986,113.328,9,Standard Class,2,Bank Transfer
39,12/27/2012,12/27/2012,12/31/2012,SN-20710,FUR-BO-10002545,532.3992,3,Standard Class,1,Credit Card
40,12/27/2012,12/27/2012,12/31/2012,SN-20710,FUR-CH-10004218,212.058,3,Standard Class,3,PayPal
41,12/27/2012,12/27/2012,12/31/2012,SN-20710,TEC-PH-10000486,371.168,4,Standard Class,1,Bank Transfer
42,9/11/2014,9/11/2014,9/16/2014,LC-16930,TEC-PH-10004093,147.168,4,Standard Class,3,Credit Card
43,7/18/2013,7/18/2013,7/23/2013,RA-19885,OFF-ST-10003479,77.88,2,Standard Class,2,Bank Transfer
44,9/20/2014,9/20/2014,9/24/2014,ES-14080,OFF-ST-10003282,95.616,2,Standard Class,2,Bank Transfer
45,3/12/2013,3/12/2013,3/14/2013,ON-18715,TEC-AC-10000171,45.98,2,First Class,5,PayPal
46,3/12/2013,3/12/2013,3/14/2013,ON-18715,OFF-BI-10003291,17.46,2,First Class,4,Credit Card
47,10/20/2011,10/20/2011,10/25/2011,PO-18865,OFF-ST-10001713,211.96,4,Second Class,3,Credit Card
48,6/21/2013,6/21/2013,6/26/2013,LH-16900,TEC-AC-10002167,45,3,Standard Class,5,Credit Card
49,6/21/2013,6/21/2013,6/26/2013,LH-16900,TEC-PH-10003988,21.8,2,Standard Class,5,Credit Card
50,4/18/2012,4/18/2012,4/22/2012,DP-13000,OFF-BI-10004410,38.22,6,Standard Class,4,PayPal
51,4/18/2012,4/18/2012,4/22/2012,DP-13000,OFF-LA-10002762,75.18,6,Standard Class,2,Credit Card
52,4/18/2012,4/18/2012,4/22/2012,DP-13000,FUR-FU-10001706,6.16,2,Standard Class,4,Bank Transfer
53,4/18/2012,4/18/2012,4/22/2012,DP-13000,FUR-CH-10003061,89.99,1,Standard Class,3,Credit Card
54,12/12/2013,12/12/2013,12/18/2013,JM-15265,OFF-FA-10000304,15.26,7,Standard Class,3,PayPal
55,12/12/2013,12/12/2013,12/18/2013,JM-15265,TEC-PH-10002447,1029.95,5,Standard Class,4,Credit Card
56,6/18/2013,6/18/2013,6/19/2013,TB-21055,OFF-ST-10000604,208.56,6,First Class,2,PayPal
57,6/18/2013,6/18/2013,6/19/2013,TB-21055,OFF-PA-10001569,32.4,5,First Class,2,Credit Card
58,6/18/2013,6/18/2013,6/19/2013,TB-21055,FUR-CH-10003968,319.41,5,First Class,1,Credit Card
59,6/18/2013,6/18/2013,6/19/2013,TB-21055,OFF-PA-10000587,14.56,2,First Class,5,PayPal
60,6/18/2013,6/18/2013,6/19/2013,TB-21055,TEC-AC-10002167,30,2,First Class,4,Bank Transfer
61,6/18/2013,6/18/2013,6/19/2013,TB-21055,OFF-BI-10001460,48.48,4,First Class,3,PayPal
62,6/18/2013,6/18/2013,6/19/2013,TB-21055,OFF-AR-10001868,1.68,1,First Class,2,Bank Transfer
63,11/24/2012,11/24/2012,11/30/2012,KM-16720,TEC-AC-10004633,13.98,2,Standard Class,3,PayPal
64,11/24/2012,11/24/2012,11/30/2012,KM-16720,OFF-BI-10001078,25.824,6,Standard Class,2,Bank Transfer
65,11/24/2012,11/24/2012,11/30/2012,KM-16720,OFF-PA-10003892,146.73,3,Standard Class,3,Bank Transfer
66,11/24/2012,11/24/2012,11/30/2012,KM-16720,FUR-FU-10000397,79.76,4,Standard Class,2,Credit Card
67,4/30/2012,4/30/2012,5/5/2012,PS-18970,FUR-CH-10001146,213.115,5,Standard Class,1,PayPal
68,12/5/2011,12/5/2011,12/10/2011,BS-11590,OFF-AR-10002671,1113.024,8,Standard Class,4,PayPal
69,12/5/2011,12/5/2011,12/10/2011,BS-11590,TEC-PH-10002726,167.968,4,Standard Class,1,PayPal
70,6/5/2013,6/5/2013,6/7/2013,KD-16270,OFF-PA-10000482,75.88,2,First Class,3,Bank Transfer
71,9/19/2013,9/19/2013,9/24/2013,HM-14980,OFF-BI-10004654,4.616,1,Standard Class,4,Credit Card
72,9/15/2014,9/15/2014,9/18/2014,TB-21520,OFF-PA-10004675,19.05,3,Second Class,3,Bank Transfer
73,4/26/2012,4/26/2012,5/2/2012,JE-15745,FUR-CH-10000513,831.936,8,Standard Class,1,Credit Card
74,4/26/2012,4/26/2012,5/2/2012,JE-15745,FUR-FU-10003708,97.04,2,Standard Class,3,PayPal
75,4/26/2012,4/26/2012,5/2/2012,JE-15745,OFF-ST-10004123,72.784,1,Standard Class,5,Bank Transfer
76,12/10/2014,12/10/2014,12/12/2014,KB-16600,OFF-BI-10004182,1.248,3,First Class,4,PayPal
77,12/10/2014,12/10/2014,12/12/2014,KB-16600,FUR-FU-10000260,9.708,3,First Class,2,Bank Transfer
78,12/10/2014,12/10/2014,12/12/2014,KB-16600,OFF-ST-10000615,27.24,3,First Class,4,Credit Card
79,11/26/2011,11/26/2011,12/1/2011,JE-15745,FUR-FU-10003194,19.3,5,Second Class,5,PayPal
80,6/13/2013,6/13/2013,6/16/2013,SC-20770,OFF-AP-10002118,208.16,1,First Class,4,Bank Transfer
81,6/13/2013,6/13/2013,6/16/2013,SC-20770,OFF-BI-10002309,16.74,3,First Class,4,Credit Card
82,10/12/2011,10/12/2011,10/16/2011,DN-13690,OFF-AR-10002053,14.9,5,Standard Class,1,Bank Transfer
83,10/12/2011,10/12/2011,10/16/2011,DN-13690,OFF-ST-10002370,21.39,1,Standard Class,3,Bank Transfer
84,9/3/2012,9/3/2012,9/8/2012,JC-16105,OFF-EN-10000927,200.984,7,Standard Class,3,PayPal
85,11/14/2014,11/14/2014,11/17/2014,CS-12400,OFF-ST-10003656,230.376,3,First Class,4,Credit Card
86,5/29/2014,5/29/2014,5/31/2014,PO-18865,FUR-CH-10000863,301.96,2,Second Class,4,Bank Transfer
87,10/27/2014,10/27/2014,11/3/2014,PG-18895,TEC-AC-10001998,19.99,1,Standard Class,3,Credit Card
88,10/27/2014,10/27/2014,11/3/2014,PG-18895,OFF-LA-10000134,6.16,2,Standard Class,3,Credit Card
89,4/6/2013,4/6/2013,4/11/2013,GM-14455,OFF-ST-10003442,158.368,7,Second Class,3,Credit Card
90,9/18/2013,9/18/2013,9/23/2013,JS-15685,OFF-AR-10004930,20.1,3,Standard Class,5,Credit Card
91,9/18/2013,9/18/2013,9/23/2013,JS-15685,TEC-PH-10004093,73.584,2,Standard Class,5,PayPal
92,9/18/2013,9/18/2013,9/23/2013,JS-15685,OFF-PA-10000304,6.48,1,Standard Class,1,Credit Card
93,1/31/2012,1/31/2012,2/5/2012,KB-16315,OFF-PA-10003177,12.96,2,Second Class,2,Bank Transfer
94,1/31/2012,1/31/2012,2/5/2012,KB-16315,FUR-FU-10003799,53.34,3,Second Class,3,Credit Card
95,1/31/2012,1/31/2012,2/5/2012,KB-16315,OFF-BI-10002852,32.96,2,Second Class,4,PayPal
96,11/7/2014,11/7/2014,11/13/2014,RB-19705,OFF-BI-10004738,5.682,1,Standard Class,4,Bank Transfer
97,11/10/2014,11/10/2014,11/12/2014,PN-18775,FUR-FU-10000629,96.53,7,Second Class,5,PayPal
98,6/18/2014,6/18/2014,6/21/2014,KD-16345,OFF-BI-10001721,51.312,3,First Class,4,Credit Card
99,9/7/2013,9/7/2013,9/12/2013,ER-13855,OFF-AP-10000358,77.88,6,Standard Class,4,PayPal
100,8/30/2013,8/30/2013,9/3/2013,RB-19465,OFF-PA-10003256,64.624,7,Standard Class,4,PayPal
101,8/30/2013,8/30/2013,9/3/2013,RB-19465,TEC-AC-10001767,95.976,3,Standard Class,3,Bank Transfer
102,8/30/2013,8/30/2013,9/3/2013,RB-19465,OFF-BI-10002609,1.788,3,Standard Class,1,PayPal
103,12/2/2013,12/2/2013,12/5/2013,GZ-14470,OFF-PA-10004040,23.92,4,Second Class,4,Bank Transfer
104,11/13/2012,11/13/2012,11/17/2012,LC-16870,TEC-AC-10001552,238.896,6,Standard Class,5,PayPal
105,11/13/2012,11/13/2012,11/17/2012,LC-16870,FUR-FU-10004006,102.36,3,Standard Class,5,Credit Card
106,11/13/2012,11/13/2012,11/17/2012,LC-16870,OFF-BI-10002794,36.882,3,Standard Class,5,Bank Transfer
107,11/24/2014,11/24/2014,11/29/2014,JM-15250,TEC-AC-10003499,74.112,8,Standard Class,2,Credit Card
108,11/24/2014,11/24/2014,11/29/2014,JM-15250,TEC-PH-10002844,27.992,1,Standard Class,3,Credit Card
109,11/24/2014,11/24/2014,11/29/2014,JM-15250,OFF-AR-10000390,3.304,1,Standard Class,3,PayPal
110,10/15/2012,10/15/2012,10/20/2012,PA-19060,TEC-AC-10000844,339.96,5,Standard Class,1,Bank Transfer
111,12/26/2014,12/26/2014,12/31/2014,CV-12805,FUR-FU-10001934,41.96,2,Standard Class,5,Credit Card
112,11/4/2013,11/4/2013,11/11/2013,CL-12565,OFF-AR-10000380,75.96,2,Standard Class,5,PayPal
113,11/4/2013,11/4/2013,11/11/2013,CL-12565,OFF-BI-10003981,27.24,6,Standard Class,1,Bank Transfer
114,8/25/2011,8/25/2011,8/27/2011,RC-19960,OFF-FA-10000621,40.096,14,Second Class,2,Credit Card
115,8/25/2011,8/25/2011,8/27/2011,RC-19960,OFF-EN-10002600,4.72,2,Second Class,2,PayPal
116,8/25/2011,8/25/2011,8/27/2011,RC-19960,OFF-PA-10004965,23.976,3,Second Class,2,Bank Transfer
117,8/25/2011,8/25/2011,8/27/2011,RC-19960,OFF-EN-10002504,130.464,6,Second Class,2,PayPal
118,3/2/2012,3/2/2012,3/6/2012,DK-13090,FUR-TA-10001768,787.53,3,Standard Class,4,Credit Card
119,4/5/2012,4/5/2012,4/10/2012,GG-14650,OFF-BI-10003650,157.794,1,Standard Class,1,PayPal
120,6/13/2013,6/13/2013,6/16/2013,SC-20725,FUR-FU-10002157,47.04,3,First Class,5,Credit Card
121,6/13/2013,6/13/2013,6/16/2013,SC-20725,OFF-BI-10003910,30.84,4,First Class,5,Bank Transfer
122,6/13/2013,6/13/2013,6/16/2013,SC-20725,OFF-ST-10000777,226.56,6,First Class,2,Bank Transfer
123,6/13/2013,6/13/2013,6/16/2013,SC-20725,OFF-EN-10002500,115.02,9,First Class,4,PayPal
124,6/13/2013,6/13/2013,6/16/2013,SC-20725,TEC-PH-10003875,68.04,7,First Class,4,Credit Card
125,12/26/2011,12/26/2011,12/28/2011,AD-10180,FUR-CH-10004063,600.558,3,Second Class,4,Bank Transfer
126,9/20/2011,9/20/2011,9/25/2011,PF-19165,FUR-TA-10004534,617.7,6,Standard Class,3,Credit Card
127,11/6/2014,11/6/2014,11/13/2014,TS-21610,OFF-BI-10003274,2.388,2,Standard Class,2,PayPal
128,11/6/2014,11/6/2014,11/13/2014,TS-21610,OFF-ST-10002974,243.992,7,Standard Class,3,Bank Transfer
129,11/7/2013,11/7/2013,11/11/2013,LS-16975,FUR-CH-10001146,81.424,2,Second Class,1,Bank Transfer
130,11/7/2013,11/7/2013,11/11/2013,LS-16975,FUR-FU-10003773,238.56,3,Second Class,2,Bank Transfer
131,2/3/2014,2/3/2014,2/6/2014,DW-13585,TEC-PH-10002293,59.97,5,First Class,3,PayPal
132,2/3/2014,2/3/2014,2/6/2014,DW-13585,OFF-PA-10002377,78.304,2,First Class,5,Credit Card
133,2/3/2014,2/3/2014,2/6/2014,DW-13585,OFF-FA-10002780,21.456,9,First Class,5,Bank Transfer
134,10/14/2013,10/14/2013,10/20/2013,LC-16885,OFF-PA-10001804,20.04,3,Standard Class,5,Credit Card
135,10/14/2013,10/14/2013,10/20/2013,LC-16885,OFF-PA-10001736,35.44,1,Standard Class,3,Bank Transfer
136,10/14/2013,10/14/2013,10/20/2013,LC-16885,OFF-AR-10001149,11.52,4,Standard Class,4,Bank Transfer
137,10/14/2013,10/14/2013,10/20/2013,LC-16885,OFF-FA-10002988,4.02,2,Standard Class,5,Bank Transfer
138,10/14/2013,10/14/2013,10/20/2013,LC-16885,OFF-BI-10004781,76.176,3,Standard Class,5,Credit Card
139,10/14/2013,10/14/2013,10/20/2013,LC-16885,OFF-SU-10001218,65.88,6,Standard Class,2,Credit Card
140,10/14/2013,10/14/2013,10/20/2013,LC-16885,FUR-FU-10001706,43.12,14,Standard Class,5,PayPal
141,9/6/2013,9/6/2013,9/8/2013,JD-15895,FUR-FU-10004848,82.8,2,Second Class,3,Bank Transfer
